year,ccode,haletype,sex,dale,ef,tropical,deathsciv,deathstotal,osv,intensity,civilwar,civilwarborder,civilwarmagnitude,xpolity,idps,refugeesoutflow,urbangrowth,urbanpop,gdppc,pop,helog,gini,hdi,pko3000,pko5000,pko10000,pkoyears3000,pkoyears5000,pkoyears10000,deathscivlog,deathstotallog,osvlog,idpslog,refugeesoutflowlog,urbanpoplog,poplog,gdppclog,ext_sup,region_code,subregion_name,subregion_code,region_name,pko_name,pkoany,pkoyearsany,pko_mission_count,ongoing2015,ep_end,start_year,years_since_last_ep,total_years_since_last_ep,end_year,conflict_years,total_conflict_years,priorpko,revintensity,pkoyearsanyrevint,pkoyears3000revint,cem_strata,cem_matched,cem_weights,xpolity_mean_impute,helog_mean_impute,gini_mean_impute,xpolity_med_impute,helog_med_impute,gini_med_impute,osv_per1000,deathstotal_per1000,idps_per1000,pko_bt,pkoobserve_bt,pkopeace_bt,pkocease_bt,pkoelect_bt,pkodddr_bt,pkosecurity_bt,pkotrain_bt,pkowomchild_bt,deathsciv_new,deathstotal_new,pko_bt_bin,pa_binary,add_cease,add_pko,active_conflict,termdur,num_of_full_agreements,num_of_partial_agreements,num_of_initiating_agreements,num_of_inclusive_agreements,num_of_exclusive_agreements,num_process_frame,num_final_frame,num_reaffirm_frame,num_agreement_ended,num_agreement_not_ended,xpolity_knn,helog_knn,gini_knn,ef_knn,hdi_knn,urbangrowth_knn,deathstotal_and_osv_10000,deathstotal_and_osv_log,xpolity_cat,idps_per1000_std_devs,idps_no0,idps_under1000
2000,100,2,3,63.4000015258789,0.656000018119812,1,332,9409,2045,2,0.800000011920929,0.20000000298023224,2.4000000953674316,6.400000095367432,0,17217,0.4521995484828949,71.53369903564453,2012.3240966796875,36779992,6.019999980926514,55.35062789916992,0.4812999963760376,0,0,0,0,0,0,5.8051652908325195,9.149422645568848,7.623153068481792,-4.605170249938965,9.753653526306152,4.270308494567871,17.42046546936035,7.60705041885376,1,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,1,0,1964,0,0,2015,10,51,0,1,0,0,45,1,1.4666666666666668,6.400000095367432,6.019999980926514,55.35062789916992,6.400000095367432,6.019999980926514,55.35062789916992,2.045,9.409,0,0,0,0,0,0,0,0,0,0,0.332,9.409,0,1,0,0,4,0,1,2,6,1,8,8,1,0,3,6,6.400000095367432,6.019999980926514,55.35062789916992,0.656000018119812,0.4812999963760376,0.4521995484828949,0.2054409,30.653594424267673,0,1,0,0
2000,101,2,3,64.3000030517578,0.48327499628067,1,80,301,372,1,1,0.3333333432674408,4,5.900000095367432,0,3278,0.3429000973701477,85.8218994140625,3091.796142578125,21719848,5.650000095367432,45.99721908569336,0.4758000075817108,0,0,0,0,0,0,4.3821516036987305,5.707143306732178,5.918893854300029,-4.605170249938965,8.094991683959961,4.452390670776367,16.89373779296875,8.036510467529297,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1962,8,23,1992,1,1,0,2,0,0,87,1,3.3000000000000003,5.900000095367432,5.650000095367432,45.99721908569336,5.900000095367432,5.650000095367432,45.99721908569336,0.372,0.301,0,0,0,0,0,0,0,0,0,0,0.08,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900000095367432,5.650000095367432,45.99721908569336,0.48327499628067,0.4758000075817108,0.3429000973701477,0.0372301,28.9455535968217,0,1,0,0
2000,110,2,3,56.7999992370605,0.619562983512878,1,0,0,0,0,0,0,0,3,0,325,-0.08910007774829865,29.181800842285156,720.03607177734375,753646.8125,4.739999771118164,48.67499923706055,0.531000018119812,0,0,0,0,0,0,-4.605170249938965,-4.605170249938965,-18.420680743952367,-4.605170249938965,5.78385591506958,3.373887777328491,13.532679557800293,6.579315185546875,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,NA,NA,10,54,NA,0,0,0,3,0,0,9,1,1.4666666666666668,3,4.739999771118164,48.67499923706055,3,4.739999771118164,48.67499923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.739999771118164,48.67499923706055,0.619562983512878,0.531000018119812,-0.08910007774829865,0,0,0,1,0,0
2000,115,2,3,59.5,NA,1,0,0,0,0,0,0,0,3.700000047683716,0,12461,0.07389984279870987,66.0386962890625,1503.5662841796875,435481.46875,5.409999847412109,57.61000061035156,NA,0,0,0,0,0,0,-4.605170249938965,-4.605170249938965,-18.420680743952367,-4.605170249938965,9.430359840393066,4.19039249420166,12.984207153320312,7.315601825714111,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1987,10,28,1987,0,1,0,3,0,0,10,1,3.3000000000000003,3.700000047683716,5.409999847412109,57.61000061035156,3.700000047683716,5.409999847412109,57.61000061035156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.700000047683716,5.409999847412109,57.61000061035156,0.6470080488833917,0.5626564972725817,0.07389984279870987,0,0,0,1,0,0
2000,130,2,3,64.3000030517578,0.654999971389771,1,0,11,0,0,1.7999999523162842,0.8999999761581421,6.400000095367432,6.900000095367432,0,1943,0.5478000640869141,57.49340057373047,1863.32763671875,11192858,4.769999980926514,51.242095947265625,0.5619999766349792,0,0,0,0,0,0,-4.605170249938965,2.398803949356079,-18.420680743952367,-4.605170249938965,7.571993827819824,4.051844120025635,16.23078727722168,7.530124664306641,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1995,5,20,1995,1,1,0,3,0,0,3,1,0.22000000000000003,6.900000095367432,4.769999980926514,51.242095947265625,6.900000095367432,4.769999980926514,51.242095947265625,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.900000095367432,4.769999980926514,51.242095947265625,0.654999971389771,0.5619999766349792,0.5478000640869141,0,0,0,1,0,0
2000,135,2,3,63.2999992370605,0.637899994850159,1,157,4846,688,2,1,0.20000000298023224,4,2.0999999046325684,0,38571,0.41319960355758667,70.74810028076172,1801.0361328125,23553416,5.28000020980835,49.55042266845703,0.5794000029563904,0,0,0,0,0,0,5.056309700012207,8.48591136932373,6.533788837947879,-4.605170249938965,10.560256004333496,4.2592668533325195,16.974781036376953,7.49612283706665,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,1,0,1965,0,0,2015,10,33,0,1,0,0,50,0,0,2.0999999046325684,5.28000020980835,49.55042266845703,2.0999999046325684,5.28000020980835,49.55042266845703,0.688,4.846,0,0,0,0,0,0,0,0,0,0,0.157,4.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0999999046325684,5.28000020980835,49.55042266845703,0.637899994850159,0.5794000029563904,0.41319960355758667,0.0692758,29.566531661794563,0,1,0,0
2000,140,2,3,61.5,0.549499988555908,1,17,193,54,0,1.7999999523162842,0.20000000298023224,6.400000095367432,6,0,663,0.735700249671936,77.237701416015625,3867.92724609375,159737072,6.150000095367432,58.697349548339844,0.5170999765396118,0,0,0,0,0,0,2.833801507949829,5.262742042541504,3.9889840467494597,-4.605170249938965,6.496789932250977,4.347017288208008,18.889039993286133,8.260477066040039,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,NA,NA,10,54,NA,0,0,0,3,0,0,3,1,0.22000000000000003,6,6.150000095367432,58.697349548339844,6,6.150000095367432,58.697349548339844,0.054,0.193,0,0,0,0,0,0,0,0,0,0,0.017,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.150000095367432,58.697349548339844,0.549499988555908,0.5170999765396118,0.735700249671936,0.0054193,27.018402678755642,0,1,0,0
2000,145,2,3,56,0.743399977684021,1,0,2,0,0,0.800000011920929,0.1599999964237213,2.4000000953674316,7,0,1910,0.6693000793457031,58.74380111694336,862.3355712890625,7432744,4.769999980926514,52.6109619140625,0.5669999718666077,0,0,0,0,0,0,-4.605170249938965,0.69813472032547,-18.420680743952367,-4.605170249938965,7.554863929748535,4.073355674743652,15.821405410766602,6.759655952453613,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1946,10,48,1967,0,1,0,3,0,0,3,1,0.22000000000000003,7,4.769999980926514,52.6109619140625,7,4.769999980926514,52.6109619140625,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.769999980926514,52.6109619140625,0.743399977684021,0.5669999718666077,0.6693000793457031,2e-7,16.811242881518265,1,1,0,0
2000,150,2,3,62.7000007629395,0.132200002670288,1,0,0,0,0,0,0,0,4.900000095367432,0,267,0.6743999719619751,51.77170181274414,1681.0216064453125,4651369,5.639999866485596,49.88393020629883,0.4754999876022339,0,0,0,0,0,0,-4.605170249938965,-4.605170249938965,-18.420680743952367,-4.605170249938965,5.587285995483398,3.9470367431640625,15.352672576904297,7.427163124084473,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1947,10,26,1989,0,1,0,3,0,0,11,0,0,4.900000095367432,5.639999866485596,49.88393020629883,4.900000095367432,5.639999866485596,49.88393020629883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.900000095367432,5.639999866485596,49.88393020629883,0.132200002670288,0.4754999876022339,0.6743999719619751,0,0,0,1,0,0
2000,155,2,3,67.8000030517578,0.496999979019165,0,0,0,0,0,0.800000011920929,0.2666666805744171,2.4000000953674316,6,0,84177,0.2635002136230469,84.41850280761719,4121.1025390625,14074931,6.489999771118164,54.379920959472656,0.6348000168800354,0,0,0,0,0,0,-4.605170249938965,-4.605170249938965,-18.420680743952367,-4.605170249938965,11.340677261352539,4.4359049797058105,16.45990562438965,8.323878288269043,0,19,Latin  America and the Caribbean,419,Americas,NA,0,0,0,0,1,1973,10,42,1973,0,1,0,3,0,0,3,1,0.22000000000000003,6,6.489999771118164,54.379920959472656,6,6.489999771118164,54.379920959472656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.489999771118164,54.379920959472656,0.496999979019165,0.6348000168800354,0.2635002136230469,0,0,0,1,0,0
